latesummer-noodle-4	더울 때 후루룩 국수 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 비빔국수, 잔치국수, 콩국수, 김치말이국수.
aircon-cold-4	에어컨 방에서 먹는 따끈한 국물 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 어묵탕, 계란국, 된장국, 콩나물국.
tuna-can-6	참치캔 하나로 끝내는 6가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 6 captions in Korean are exactly, in this order: 참치마요덮밥, 참치김치찌개, 참치김밥, 참치전, 참치샐러드, 참치볶음밥.
lateaug-sidedish-4	장마 끝나고 입맛 없을 때 밑반찬 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 감자조림, 콩나물무침, 오이무침, 두부조림.
spam-5	스팸 한 통으로 5가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 5 captions in Korean are exactly, in this order: 스팸마요덮밥, 스팸김치볶음밥, 스팸계란말이, 스팸김밥, 스팸부대찌개.
nolunch-rice-6	밥만 있으면 되는 한그릇 6가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 6 captions in Korean are exactly, in this order: 계란간장밥, 김치볶음밥, 참치마요덮밥, 스팸마요덮밥, 카레덮밥, 김치말이밥.
dumpling-5	냉동만두 응용 5가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 5 captions in Korean are exactly, in this order: 만두구이, 만두전골, 만두라면, 만두강정, 만둣국.
diet-lunch-4	다이어트할 때 점심 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 닭가슴살 샐러드, 두부 덮밥, 곤약 비빔면, 계란 샐러드.
eggs-6ways	계란 6가지로 먹는 법	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 6 captions in Korean are exactly, in this order: 계란찜, 계란말이, 계란국, 계란장조림, 스크램블, 계란후라이덮밥.
earlyfall-soup-4	환절기에 끓여 먹는 국 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 무국, 미역국, 북엇국, 된장찌개.
potato-5	감자 한 봉 다 쓰는 5가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 5 captions in Korean are exactly, in this order: 감자채볶음, 감자조림, 감자전, 감자국, 감자샐러드.
